Usia,Jenis Kelamin,Status Perkawinan,Pendidikan Terakhir,Pekerjaan Utama,Pekerjaan,Rata-rata Pendapatan Per Bulan,Apa alasan utama Anda tidak memilih dalam Pilkada 2024?,Administrasi,Sengaja Golput,Infrastuktur,Apakah Anda mencoblos dalam pilkada-pilkada sebelumnya?,Apakah Anda akan mencoblos dalam Pilkada 5 tahun lagi?,"Menurut Anda, apakah Pilpres lebih menarik dari Pilkada?","Menurut Anda, Apakah Pileg untuk lebih menarik dari Pilkada untuk Anda",Seberapa mudah Anda mengakses TPS tempat Anda terdaftar?,Seberapa aktif Anda mengikuti berita politik lokal di kota Anda?,Dari mana Anda mendapatkan informasi paling sering tentang Pilkada 2024?,"Menurut Anda, seberapa besar pilihan Anda apabila memilih dalam Pilkada berpengaruh pada kehidupan Anda sehari-hari?",Apakah ada tekanan sosial atau politik yang memengaruhi keputusan Anda untuk tidak memilih?,"Apakah Anda merasa bahwa pelaksanaan Pemilu 2024 yang mencakup Pilpres, Pileg, dan Pilkada dalam satu tahun terlalu padat?",Apakah anda merasa kegiatan Pemilu sebelumnya dan pemberitaannya yang terus menerus menghasilkan kelelahan pada pemilihan pilkada (Electoral Fatigue)?,"Apakah Anda mengalami praktik ""vote buying"" untuk tidak memilih saat Pilkada terakhir?","Jika iya, dari mana insentif atau vote buying itu berasal?","Menurut Anda, apakah pemilih perlu diberikan insentif atau penghargaan agar ikut aktif memilih dalam pilkada?","Menurut Anda, apa yang paling penting yang bisa dilakukan agar Pilkada kembali menarik bagi masyarakat?","Pada pilkada yang akan datang, apakah ada faktor yang paling utama yang dapat membuat Anda lebih tertarik untuk memilih?","Jika harapan Anda diatas terpenuhi, apakah Anda akan memilih dalam pilkada berikutnya?"
40-49 tahun,Laki-Laki,Menikah,SMP/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Tidak,Tidak,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),Kampanye langsung dari kandidat/tim sukses,Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Tidak,Sangat mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
30-39 tahun,Laki-Laki,Cerai Hidup,SMA/Sederajat,Buruh,Buruh,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Tidak Tahu,Ya,Ya,Cukup mudah,Tidak tertarik sama sekali,"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih",Tidak tahu/tidak punya pendapat,Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Ragu-ragu
50-59 tahun,Laki-Laki,Menikah,SMP/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Ya,Tidak Tahu,Cukup mudah,Tidak tertarik sama sekali,Kampanye langsung dari kandidat/tim sukses,Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Membuat informasi pilkada lebih menarik dan mudah diakses,Ada kebijakan/program yang menarik dari kandidat,Ragu-ragu
40-49 tahun,Perempuan,Menikah,Sarjana (S1),Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,"Tidak percaya bahwa pilkada akan membawa perubahan, Tidak tertarik atau jenuh terhadap politik",,Tidak pernah memilih,Tidak,Tidak,Tidak,Sangat mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,Mengganti sistem pemilihan menjadi tidak langsung,Pemilihan yang ditunjuk oleh orang yang berkompeten bukan sistem one man one vote,Cukup besar kemungkinan
50-59 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,Tidak suka dan tidak percaya dengan kandidat yang ada,,"Ya, selalu",Tidak Tahu,Ya,Ya,Sangat mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
< 20 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,Tidak pernah memilih,Tidak Tahu,Ya,Ya,Sangat mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
< 20 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,Tidak pernah memilih,Tidak Tahu,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai negeri/ASN,Pegawai negeri/ASN,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Cukup besar kemungkinan
40-49 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Ragu-ragu
40-49 tahun,Perempuan,Menikah,Diploma (D1-D3),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Tidak tertarik sama sekali,Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Ragu-ragu
30-39 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Sengaja Golput,,Tidak percaya bahwa pilkada akan membawa perubahan,,"Ya, selalu",Tidak Tahu,Tidak,Tidak,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
50-59 tahun,Laki-Laki,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),Televisi,Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima",Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
50-59 tahun,Perempuan,Menikah,Diploma (D1-D3),Wiraswasta,Wiraswasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),Televisi,Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima",Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
50-59 tahun,Perempuan,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sangat berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Sangat besar kemungkinan
30-39 tahun,Laki-Laki,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima",Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Tidak Tahu,Tidak Tahu,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
30-39 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,"Ada pekerjaan/kesibukan lain pada hari pemungutan suara, Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota","Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
50-59 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Sengaja Golput,,"Tidak tertarik atau jenuh terhadap politik, Tidak kenal dengan kandidat yang ada, Tidak percaya bahwa pilkada akan membawa perubahan",,"Ya, pernah",Tidak Tahu,Tidak Tahu,Tidak Tahu,Cukup mudah,Tidak tertarik sama sekali,Tidak mendapatkan informasi sama sekali,Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Ya,dari lingkungan tetangga,Tidak,Mengurangi periode waktu kampanye yang terlalu padat dan melelahkan,Tidak ada yang bisa membuat saya tertarik memilih,Kecil kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,"Ada pekerjaan/kesibukan lain pada hari pemungutan suara, Tidak tahu atau lupa hari pencoblosan, Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota",Tidak pernah memilih,Tidak Tahu,Ya,Tidak,Sulit,Jarang (hanya mendengar sesekali),Tidak mendapatkan informasi sama sekali,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,Akses ke TPS lebih mudah dan dekat,Cukup besar kemungkinan
30-39 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Sengaja Golput,,"Tidak tertarik atau jenuh terhadap politik, Tidak kenal dengan kandidat yang ada, Tidak suka dan tidak percaya dengan kandidat yang ada, Tidak ada program dari kandidat yang menarik, Kandidat tidak mewakili kelompok saya (perempuan, pemuda, disabilitas, dsb.), Tidak percaya bahwa pilkada akan membawa perubahan, Ada tekanan dari atasan/patron politik agar tidak memilih, Ada himbauan dan/atau insentif agar tidak memilih",,"Ya, pernah",Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak tertarik sama sekali,Kampanye langsung dari kandidat/tim sukses,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Ya,Dari banyak pihak (tidak disebutkan secara spesifik),Tidak Tahu,Memperbaiki sistem pilkada agar lebih transparan dan adil,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
50-59 tahun,Perempuan,Cerai Hidup,SMP/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Sengaja Golput,,"Tidak suka dan tidak percaya dengan kandidat yang ada, Tidak percaya bahwa pilkada akan membawa perubahan",,Tidak pernah memilih,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Jarang (hanya mendengar sesekali),Kampanye langsung dari kandidat/tim sukses,Tidak terlalu berpengaruh,"Ya, tekanan dari media sosial","Tidak, jadwalnya sudah tepat","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak Tahu,Membuat informasi pilkada lebih menarik dan mudah diakses,Ada kebijakan/program yang menarik dari kandidat,Ragu-ragu
